Card   1: 57 76 72 11  8 28 15 38 54 46 | 77 87 71 98 40  7 84 43 61 64  5 50 19 83 79 99 36 47  4 95 30 44 37 55 26
Card   2: 44 69 14 83 54 48 21  6 20 26 | 80 26 86  3  9  4 62 34 15 87 60 88 90 29 65 46 92 73 24 12 40 10 99 37 74
Card   3: 15 60 63 84 20 93 36 39 17 19 | 68 80 17 91 20 84 69 72 15 39  5 61 74 99 60 85 19 45 24 79 53 36  7 63 93
Card   4: 22 74 83 58 88 46  7 52 84  5 | 75 20 95  8 37 56 31 42 73 43 40 48  4 28 99 45 90 63 81 93 68 50 46 30  7
Card   5:  4 97 41 50 32 26 68 84  5 11 | 91 70 87  4 88 13 48 51 32 34 38 82 86 11  1 50 40 43 28  5 61 89 84 41 37
Card   6: 79 97 39 26 57 69 38 87 60 44 | 22 92 80 38 27 66 54  2  9 62  3  4 71 99 24 97 14  7 93 28 53 50 77 68 73
Card   7: 73 91 51 23 90 67 19 81 50 12 |  4 76 97 64 19 85 31  3 74 12 23 60 20 68 52 39 43 65 37 63 40 59 99 80  6
Card   8: 23 64 38 82 68 79 49 56  5 76 | 68 25 64 30 40 52 16 53 95 96 85  9  4  7 26 80 62 67 73 35 32 44 90 69 93
Card   9: 75 87 69 31  8 11 89 49 95 24 | 35 26 68 69 42 66 37 77 25 45 75 72 38 50 27 24 32 46 11 10 14 95 62  7 86
Card  10: 37 25 47 36 57 81 44  6 79 98 | 67 34 86 70 39 97 80 69 27 17  7 50 99 84 45 32 49 53 15 95 19 18 47 37 41
Card  11: 87 98 16 76 21 53  8 42 40 75 | 21  7 89 85 65 30 32 19 68 22 64 82 48 62 39 46  4 57 77 18 55 24 34 29 67
